molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1214507,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Oc3ccnc4[nH]c(=O)cnc34)c2)cc1,active,509.5700000000003,5.546020000000004,3,7,7.060480747381382
CHEMBL1214561,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Oc3ccnc4ncc(=O)[nH]c34)c2)cc1,active,509.5700000000003,5.546020000000004,3,7,6.236572006437063
CHEMBL1214562,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Oc3ccnc4[nH]c(=O)c(C)nc34)c2)cc1,active,523.5970000000003,5.854440000000005,3,7,6.87942606879415
CHEMBL1214563,O=C(Nc1cccc(Oc2ccnc3[nH]c(=O)cnc23)c1)c1cccc(OC(F)(F)F)c1,active,442.3530000000001,4.261300000000001,2,6,7.6777807052660805
CHEMBL1214564,O=C(Nc1cccc(Oc2ccnc3ncc(=O)[nH]c23)c1)c1cccc(OC(F)(F)F)c1,active,442.3530000000001,4.261300000000001,2,6,6.51427857351842
CHEMBL1214616,O=C(Nc1cccc(Oc2ccnc3[nH]c(=O)c(O)nc23)c1)c1cccc(OC(F)(F)F)c1,active,458.3520000000001,3.9669000000000008,3,7,7.619788758288394
CHEMBL1214617,CC(C)(C)c1cccc(C(=O)Nc2cccc(Oc3ccnc4[nH]c(=O)cnc34)c2)c1,active,414.4650000000001,4.660200000000003,2,5,8.154901959985743
CHEMBL1214618,CC(C)(C)c1cccc(C(=O)Nc2cccc(Oc3ccnc4ncc(=O)[nH]c34)c2)c1,active,414.4650000000001,4.660200000000003,2,5,7.468521082957745
CHEMBL1214619,Cc1nc2c(Oc3cccc(NC(=O)c4cccc(C(C)(C)C)c4)c3)ccnc2[nH]c1=O,active,428.49200000000013,4.968620000000004,2,5,8.0
CHEMBL1213693,CC(C)(C)c1cc(NC(=O)c2cccc(Oc3ccnc4[nH]c(=O)cnc34)c2)n(-c2ccccc2)n1,active,480.52800000000013,4.845900000000003,2,7,6.060480747381382
CHEMBL1213694,CN1CCN(c2cnc3c(Oc4ccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)c(F)c4)ccnc3n2)CC1,active,559.4989999999999,5.509900000000004,2,7,6.958607314841775
CHEMBL1213695,CN1CCN(c2cnc3c(Oc4ccc(NC(=O)Nc5cc(C(C)(C)C)nn5-c5ccccc5)c(F)c4)ccnc3n2)CC1,intermediate,595.683,5.835200000000005,2,9,5.3872161432802645
CHEMBL1213696,CN(C)c1cnc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2n1,active,504.4190000000001,5.824100000000003,2,6,6.657577319177793
CHEMBL1213756,CN(C)c1cnc2c(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c(F)c3)ccnc2n1,inactive,540.6030000000001,6.149400000000005,2,8,5.0
CHEMBL1213757,O=C(Nc1ccc(Oc2ccnc3nc(N4CCOCC4)cnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,active,546.4560000000002,5.594700000000003,2,7,7.013228265733755
CHEMBL1213758,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4nc(N5CCOCC5)cnc34)cc2F)n(-c2ccccc2)n1,intermediate,582.6400000000003,5.920000000000005,2,9,5.086186147616283
CHEMBL1213759,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4nc(N5CCOCC5)cnc34)cc2F)cc1,inactive,596.6670000000004,6.228420000000006,2,9,5.0
CHEMBL1213760,CNc1cnc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2n1,active,490.3920000000001,5.799800000000002,3,6,6.97061622231479
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,493.6150000000002,4.590320000000004,2,7,4.0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,active,527.6690000000006,5.986420000000005,2,6,7.078833949362261
CHEMBL1213922,CNC(=O)c1cc(Oc2ccc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)cc2)ccn1,inactive,459.5500000000003,3.233200000000002,2,6,4.0
CHEMBL1213923,CN1CCN(Cc2ccc(C(=O)Nc3ccc(OCCN4CCOCC4)c4ccccc34)cc2)CC1,inactive,488.6320000000004,3.550500000000002,1,6,4.0
CHEMBL1213924,Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,active,498.89600000000013,6.906820000000003,3,5,6.744486287180466
CHEMBL1213925,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCCN2CCOCC2)c2ccccc12,active,493.91300000000035,5.867000000000005,2,4,9.0
CHEMBL1213973,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,active,532.6520000000003,7.026240000000006,3,7,6.38310457359924
CHEMBL1213974,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)ccn1,active,498.5870000000003,5.669120000000005,3,6,6.625801742070918
CHEMBL1213975,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(CN4CCN(C)CC4)cc3)cc2)ccn1,inactive,474.56500000000034,3.624900000000003,3,6,4.0
CHEMBL1213976,O=C(Nc1ccc(OCCN2CCOCC2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,active,443.853,4.713800000000004,2,4,7.034798298974088
CHEMBL1253783,CN(C)CCOc1ccc(-c2nc(-c3ccc(-c4cc[nH]n4)cc3)c(-c3ccncc3)[nH]2)cc1,intermediate,450.54600000000005,5.136200000000003,2,5,5.795880017344075
CHEMBL1253867,Cc1c[nH]nc1-c1ccc(-c2nc(-c3ccc(OCCN(C)C)cc3)[nH]c2-c2ccncc2)cc1,intermediate,464.57300000000015,5.444620000000004,2,5,5.920818753952375
